"";"clave";"cod_municipio";"municipio";"anio";"fecha";"mes";"dia_semana";"rango_hora";"edad";"sexo";"escolaridad";"estado_civil";"mecanismo_causal";"agresor";"circunstancia";"deficit_cuantitativo";"deficit_cualitativo";"deficit_habitacional";"valor_agregado_2019";"valor_agregado_2020";"total_hombres";"total_mujeres";"total_poblacion";"porcentaje_pobl_hombres";"porcentaje_pobl_mujeres";"energia_electrica";"internet";"pobreza_multi_2018";"analfabetismo";"bajo_logro_educativo";"trabajo_informal"
"569";"08001:2020";"08001";"barranquilla";"2020";"2020-01-17";"1";"5";"4";"51.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"570";"08758:2020";"08758";"soledad";"2020";"2020-01-15";"1";"3";NA;"41.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"571";"08001:2020";"08001";"barranquilla";"2020";"2020-01-19";"1";"7";"3";"28.000";"hombre";NA;"1";"proyectil de arma de fuego";"familiar";"violencia_intrafamiliar";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"572";"08758:2020";"08758";"soledad";"2020";"2020-01-19";"1";"7";"3";"23.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"573";"08001:2020";"08001";"barranquilla";"2020";"2020-01-19";"1";"7";"4";"26.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"574";"08573:2020";"08573";"puerto colombia";"2020";"2020-01-21";"1";"2";"4";"22.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 7.31";"29.81";"37.11";" 1.3921859";" 1.3072341";" 34490";" 26519";"  51695";"48.70103";"51.29897";"0.9878822";"0.595";"14.4";" 5.2";"23.4";"80.7"
"575";"08001:2020";"08001";"barranquilla";"2020";"2020-01-22";"1";"3";"2";"16.000";"mujer";NA;"2";"estrangulamiento";"pareja o ex pareja";"violencia_intrafamiliar";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"576";"08001:2020";"08001";"barranquilla";"2020";"2020-01-20";"1";"1";"4";"54.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"577";"08001:2020";"08001";"barranquilla";"2020";"2020-01-23";"1";"4";"2";"24.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"578";"08758:2020";"08758";"soledad";"2020";"2020-01-23";"1";"4";"4";"35.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"579";"08758:2020";"08758";"soledad";"2020";"2020-01-23";"1";"4";"4";"29.000";"mujer";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"580";"08001:2020";"08001";"barranquilla";"2020";"2020-01-24";"1";"5";"4";"25.000";"hombre";NA;NA;"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"581";"08001:2020";"08001";"barranquilla";"2020";"2020-01-25";"1";"6";NA;"41.000";"hombre";NA;"2";"corto punzante";"familiar";"violencia_intrafamiliar";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"582";"08558:2020";"08558";"polonuevo";"2020";"2020-01-25";"1";"6";"3";"43.000";"hombre";"1";"2";"proyectil de arma de fuego";"agresor desconocido";"rina";"16.78";"50.31";"67.09";" 0.3764655";" 0.4114766";" 34490";"  9377";"  18941";"50.49364";"49.50636";"0.9776942";"0.036";"30.5";"13.6";"47.7";"85.3"
"583";"08758:2020";"08758";"soledad";"2020";"2020-01-26";"1";"7";"1";"33.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"584";"08758:2020";"08758";"soledad";"2020";"2020-01-26";"1";"7";"4";"27.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"585";"08758:2020";"08758";"soledad";"2020";"2020-01-27";"1";"1";"3";"41.000";"mujer";"2";"1";"contundente";"pareja o ex pareja";"violencia_intrafamiliar";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"586";"08573:2020";"08573";"puerto colombia";"2020";"2020-01-27";"1";"1";"4";"39.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 7.31";"29.81";"37.11";" 1.3921859";" 1.3072341";" 34490";" 26519";"  51695";"48.70103";"51.29897";"0.9878822";"0.595";"14.4";" 5.2";"23.4";"80.7"
"587";"08001:2020";"08001";"barranquilla";"2020";"2020-01-29";"1";"3";"1";"37.000";"mujer";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"588";"08758:2020";"08758";"soledad";"2020";"2020-01-29";"1";"3";"3";"41.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"589";"08001:2020";"08001";"barranquilla";"2020";"2020-01-29";"1";"3";"3";"33.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"590";"08001:2020";"08001";"barranquilla";"2020";"2020-01-30";"1";"4";"4";"20.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"591";"08001:2020";"08001";"barranquilla";"2020";"2020-01-31";"1";"5";"1";"25.000";"mujer";"2";"1";"corto punzante";"pareja o ex pareja";"violencia_intrafamiliar";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"592";"08001:2020";"08001";"barranquilla";"2020";"2020-02-02";"2";"7";"1";"27.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"593";"08001:2020";"08001";"barranquilla";"2020";"2020-02-02";"2";"7";"1";"21.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"594";"08001:2020";"08001";"barranquilla";"2020";"2020-02-01";"2";"6";"4";"33.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"595";"08001:2020";"08001";"barranquilla";"2020";"2020-02-03";"2";"1";"3";"41.000";"mujer";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"596";"08001:2020";"08001";"barranquilla";"2020";"2020-02-03";"2";"1";"4";"22.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"597";"08001:2020";"08001";"barranquilla";"2020";"2020-02-03";"2";"1";"4";"22.000";"hombre";"1";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"598";"08758:2020";"08758";"soledad";"2020";"2020-02-05";"2";"3";"4";"43.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"599";"08001:2020";"08001";"barranquilla";"2020";"2020-02-06";"2";"4";"3";"33.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"600";"08758:2020";"08758";"soledad";"2020";"2020-02-08";"2";"6";"1";"29.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"601";"08001:2020";"08001";"barranquilla";"2020";"2020-02-07";"2";"5";"4";"33.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"602";"08433:2020";"08433";"malambo";"2020";"2020-02-08";"2";"6";"3";"19.000";"hombre";NA;NA;"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"603";"08001:2020";"08001";"barranquilla";"2020";"2020-02-09";"2";"7";"2";"26.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"604";"08001:2020";"08001";"barranquilla";"2020";"2020-02-09";"2";"7";"4";"26.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"605";"08001:2020";"08001";"barranquilla";"2020";"2020-02-10";"2";"1";"2";"43.000";"hombre";NA;NA;"corto punzante";"agresor desconocido";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"606";"08758:2020";"08758";"soledad";"2020";"2020-02-12";"2";"3";"3";"22.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"607";"08001:2020";"08001";"barranquilla";"2020";"2020-02-12";"2";"3";"4";"52.000";"hombre";"2";"1";"corto punzante";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"608";"08758:2020";"08758";"soledad";"2020";"2020-02-14";"2";"5";"1";"25.000";"hombre";"1";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"609";"08433:2020";"08433";"malambo";"2020";"2020-02-15";"2";"6";"4";"23.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"610";"08001:2020";"08001";"barranquilla";"2020";"2020-02-17";"2";"1";"4";"34.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"611";"08001:2020";"08001";"barranquilla";"2020";"2020-02-19";"2";"3";"1";"21.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"612";"08001:2020";"08001";"barranquilla";"2020";"2020-02-20";"2";"4";"3";"32.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"613";"08001:2020";"08001";"barranquilla";"2020";"2020-02-20";"2";"4";"4";"15.000";"hombre";"2";"2";"proyectil de arma de fuego";"miembro de un grupo de la delincuencia organizada";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"614";"08758:2020";"08758";"soledad";"2020";"2020-02-22";"2";"6";"1";"31.000";"hombre";"2";"1";"proyectil de arma de fuego";"miembros de las fuerzas armadas, de policia, policia judicial y servicios de inteligencia";"intervencion_estado";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"615";"08758:2020";"08758";"soledad";"2020";"2020-02-23";"2";"7";"1";"38.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"616";"08638:2020";"08638";"sabanalarga";"2020";"2020-02-23";"2";"7";"1";"37.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"rina";"11.38";"46.86";"58.24";" 1.9391059";" 1.9309815";" 34490";" 48897";"  97005";"49.59332";"50.40668";"0.9619442";"0.143";"36.5";"19.4";"46.7";"89.6"
"617";"08433:2020";"08433";"malambo";"2020";"2020-02-24";"2";"1";"3";"31.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"618";"08001:2020";"08001";"barranquilla";"2020";"2020-02-24";"2";"1";"3";"58.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"619";"08001:2020";"08001";"barranquilla";"2020";"2020-02-24";"2";"1";"3";"27.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"620";"08001:2020";"08001";"barranquilla";"2020";"2020-02-24";"2";"1";"4";"30.000";"hombre";"3";"2";"proyectil de arma de fuego";"miembros de las fuerzas armadas, de policia, policia judicial y servicios de inteligencia";"intervencion_estado";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"621";"08001:2020";"08001";"barranquilla";"2020";"2020-02-25";"2";"2";NA;"50.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"622";"08758:2020";"08758";"soledad";"2020";"2020-02-27";"2";"4";"3";"35.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"623";"08001:2020";"08001";"barranquilla";"2020";"2020-02-27";"2";"4";"4";"37.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"624";"08638:2020";"08638";"sabanalarga";"2020";"2020-02-28";"2";"5";"2";"53.000";"hombre";"1";"2";"proyectil de arma de fuego";"agresor desconocido";"rina";"11.38";"46.86";"58.24";" 1.9391059";" 1.9309815";" 34490";" 48897";"  97005";"49.59332";"50.40668";"0.9619442";"0.143";"36.5";"19.4";"46.7";"89.6"
"625";"08001:2020";"08001";"barranquilla";"2020";"2020-02-28";"2";"5";"3";"40.000";"hombre";"3";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"626";"08001:2020";"08001";"barranquilla";"2020";"2020-03-01";"3";"7";NA;"54.000";"hombre";NA;"1";"corto punzante";"agresor desconocido";"sin informacion";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"627";"08001:2020";"08001";"barranquilla";"2020";"2020-03-01";"3";"7";"3";"50.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"628";"08001:2020";"08001";"barranquilla";"2020";"2020-03-01";"3";"7";"4";"35.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"629";"08433:2020";"08433";"malambo";"2020";"2020-03-02";"3";"1";"3";"21.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"630";"08001:2020";"08001";"barranquilla";"2020";"2020-03-03";"3";"2";"1";"36.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"631";"08001:2020";"08001";"barranquilla";"2020";"2020-02-26";"2";"3";"2";"35.000";"hombre";"2";NA;"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"632";"08001:2020";"08001";"barranquilla";"2020";"2020-03-05";"3";"4";"4";"31.000";"hombre";"3";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"633";"08001:2020";"08001";"barranquilla";"2020";"2020-03-05";"3";"4";"3";"36.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"634";"08001:2020";"08001";"barranquilla";"2020";"2020-03-07";"3";"6";"4";"18.000";"mujer";NA;"1";"proyectil de arma de fuego";"pareja o ex pareja";"violencia_intrafamiliar";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"635";"08078:2020";"08078";"baranoa";"2020";"2020-03-08";"3";"7";"4";"35.000";"hombre";NA;NA;"corto punzante";"pareja o ex pareja";"violencia_intrafamiliar";"10.87";"66.38";"77.25";" 1.8547909";" 1.6760275";" 32399";" 32550";"  64949";"49.88375";"50.11625";"0.9846988";"0.161";"33.5";"11.2";"42.8";"87.6"
"636";"08001:2020";"08001";"barranquilla";"2020";"2020-03-09";"3";"1";"3";"21.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"637";"08433:2020";"08433";"malambo";"2020";"2020-03-11";"3";"3";"4";"20.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"638";"08433:2020";"08433";"malambo";"2020";"2020-03-12";"3";"4";"2";"46.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"639";"08433:2020";"08433";"malambo";"2020";"2020-03-12";"3";"4";"2";"46.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"640";"08758:2020";"08758";"soledad";"2020";"2020-03-15";"3";"7";"4";"18.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"641";"08001:2020";"08001";"barranquilla";"2020";"2020-03-15";"3";"7";"4";"18.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"642";"08001:2020";"08001";"barranquilla";"2020";"2020-03-16";"3";"1";"1";"18.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"643";"08573:2020";"08573";"puerto colombia";"2020";"2020-03-11";"3";"3";"4";"18.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 7.31";"29.81";"37.11";" 1.3921859";" 1.3072341";" 34490";" 26519";"  51695";"48.70103";"51.29897";"0.9878822";"0.595";"14.4";" 5.2";"23.4";"80.7"
"644";"08001:2020";"08001";"barranquilla";"2020";"2020-03-19";"3";"4";"2";"27.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"ajuste de cuentas";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
