"";"clave";"cod_municipio";"municipio";"anio";"fecha";"mes";"dia_semana";"rango_hora";"edad";"sexo";"escolaridad";"estado_civil";"mecanismo_causal";"agresor";"circunstancia";"deficit_cuantitativo";"deficit_cualitativo";"deficit_habitacional";"valor_agregado_2019";"valor_agregado_2020";"total_hombres";"total_mujeres";"total_poblacion";"porcentaje_pobl_hombres";"porcentaje_pobl_mujeres";"energia_electrica";"internet";"pobreza_multi_2018";"analfabetismo";"bajo_logro_educativo";"trabajo_informal"
"18";"08001:2019";"08001";"barranquilla";"2019";"2019-01-01";"1";"2";"3";"29.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"19";"08758:2019";"08758";"soledad";"2019";"2019-01-05";"1";"6";"3";"40.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"20";"08001:2019";"08001";"barranquilla";"2019";"2019-01-05";"1";"6";"3";"29.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"21";"08758:2019";"08758";"soledad";"2019";"2019-01-07";"1";"1";"3";"30.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"22";"08758:2019";"08758";"soledad";"2019";"2019-01-07";"1";"1";"4";"28.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"23";"08001:2019";"08001";"barranquilla";"2019";"2019-01-08";"1";"2";"2";"58.000";"mujer";"3";"2";"contundente";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"24";"08001:2019";"08001";"barranquilla";"2019";"2019-01-09";"1";"3";"3";"21.000";"hombre";NA;"1";"corto punzante";"conocido sin ningun trato";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"25";"08001:2019";"08001";"barranquilla";"2019";"2019-01-11";"1";"5";NA;"22.000";"mujer";"2";"1";"proyectil de arma de fuego";"sin informacion";"sin informacion";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"26";"08296:2019";"08296";"galapa";"2019";"2019-01-12";"1";"6";"1";"19.000";"hombre";NA;"2";"contundente";"agresor desconocido";"rina";" 9.72";"30.49";"40.21";" 2.1729800";" 2.2688544";" 34490";" 32020";"  64260";"50.17118";"49.82882";"0.9916005";"0.293";"23.8";" 8.1";"40.1";"85.0"
"27";"08433:2019";"08433";"malambo";"2019";"2019-01-12";"1";"6";"4";"43.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"28";"08001:2019";"08001";"barranquilla";"2019";"2019-01-13";"1";"7";"4";"39.000";"hombre";NA;"1";"corto punzante";"otros familiares civiles o consanguineos";"violencia_intrafamiliar";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"29";"08421:2019";"08421";"luruaco";"2019";"2019-01-14";"1";"1";"4";"76.000";"hombre";NA;"1";"corto contundente";"conocido sin ningun trato";"delincuencia_comun";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"30";"08421:2019";"08421";"luruaco";"2019";"2019-01-15";"1";"2";"2";"21.000";"hombre";NA;NA;"contundente";"agresor desconocido";"ajuste de cuentas";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"31";"08421:2019";"08421";"luruaco";"2019";"2019-01-15";"1";"2";"3";"17.000";"hombre";"2";"2";"proyectil de arma de fuego";"policia";"intervencion_estado";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"32";"08001:2019";"08001";"barranquilla";"2019";"2019-01-17";"1";"4";"3";"75.000";"mujer";"1";"2";"proyectil de arma de fuego";"pandillas";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"33";"08001:2019";"08001";"barranquilla";"2019";"2019-01-20";"1";"7";"1";"35.000";"hombre";NA;"1";"corto punzante";"conocido sin ningun trato";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"34";"08001:2019";"08001";"barranquilla";"2019";"2019-01-20";"1";"7";"1";"18.000";"hombre";"2";"2";"proyectil de arma de fuego";"policia";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"35";"08001:2019";"08001";"barranquilla";"2019";"2019-01-20";"1";"7";"2";"63.000";"hombre";NA;"2";"corto punzante";"agresor desconocido";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"36";"08685:2019";"08685";"santo tomas";"2019";"2019-01-20";"1";"7";"3";"45.000";"hombre";NA;"2";"corto punzante";"agresor desconocido";"rina";"12.09";"30.84";"42.93";" 0.5830538";" 0.6249853";" 34490";" 15696";"  31027";"49.41180";"50.58820";"0.9808161";"0.181";"25.8";"13.6";"41.7";"85.5"
"37";"08758:2019";"08758";"soledad";"2019";"2019-01-20";"1";"7";"3";"22.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"38";"08001:2019";"08001";"barranquilla";"2019";"2019-01-20";"1";"7";"4";"55.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"39";"08001:2019";"08001";"barranquilla";"2019";"2019-01-21";"1";"1";"4";"23.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"40";"08001:2019";"08001";"barranquilla";"2019";"2019-01-22";"1";"2";"3";"37.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"41";"08433:2019";"08433";"malambo";"2019";"2019-01-22";"1";"2";"4";"38.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 6.83";"38.56";"45.39";" 4.5437332";" 4.4930757";" 34490";" 67710";" 134468";"49.64601";"50.35399";"0.9924755";"0.327";"30.0";"10.6";"44.2";"88.5"
"42";"08758:2019";"08758";"soledad";"2019";"2019-01-22";"1";"2";"3";"47.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"43";"08001:2019";"08001";"barranquilla";"2019";"2019-01-22";"1";"2";"3";"33.000";"hombre";"2";"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"44";"08001:2019";"08001";"barranquilla";"2019";"2019-01-22";"1";"2";"3";" 4.000";"mujer";"1";NA;"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"45";"08001:2019";"08001";"barranquilla";"2019";"2019-01-24";"1";"4";"4";"20.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"46";"08758:2019";"08758";"soledad";"2019";"2019-01-23";"1";"3";"4";" 1.000";"hombre";"1";NA;"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"47";"08001:2019";"08001";"barranquilla";"2019";"2019-01-26";"1";"6";"3";"26.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"48";"08001:2019";"08001";"barranquilla";"2019";"2019-01-26";"1";"6";"3";"18.000";"mujer";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"49";"08001:2019";"08001";"barranquilla";"2019";"2019-01-26";"1";"6";NA;"19.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"50";"08001:2019";"08001";"barranquilla";"2019";"2019-01-26";"1";"6";"3";"35.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
